Academic license - for non-commercial use only
Set parameter TimeLimit to value 7200

Gurobi Optimizer version 8.0.0 build v8.0.0rc0 (linux64)
Copyright (c) 2018, Gurobi Optimization, LLC

Read LP format model from file fernando/la07.lp
Reading time = 0.20 seconds
: 54965 rows, 105301 columns, 311145 nonzeros
Optimize a model with 54965 rows, 105301 columns and 311145 nonzeros
Variable types: 0 continuous, 105301 integer (105300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 9e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 10342 rows and 10422 columns
Presolve time: 1.33s
Presolved: 44623 rows, 94879 columns, 290588 nonzeros
Variable types: 0 continuous, 94879 integer (94878 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...

Presolve removed 70 rows and 70 columns
Presolved: 44553 rows, 94809 columns, 290448 nonzeros

Presolve removed 15 rows and 1 columns

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    1334    0.0000000e+00   9.926267e+00   1.456295e+11      5s
    3374    0.0000000e+00   6.383513e+00   8.176912e+10     10s
    4964    0.0000000e+00   5.651373e+00   1.212930e+11     15s
    6584    0.0000000e+00   4.765839e+00   1.262394e+11     20s
    8124    0.0000000e+00   4.131495e+00   5.294377e+10     25s
    9644    0.0000000e+00   3.584113e+00   3.314059e+11     30s
   11024    0.0000000e+00   3.039605e+00   5.219467e+10     35s
   12534    0.0000000e+00   2.772237e+00   2.292137e+10     40s
   13934    0.0000000e+00   2.352853e+00   1.674576e+10     45s
   15314    0.0000000e+00   2.161870e+00   2.383707e+10     50s
   16644    0.0000000e+00   1.919851e+00   1.685260e+10     55s
   17994    0.0000000e+00   1.679993e+00   1.696074e+10     60s
   19364    0.0000000e+00   1.508257e+00   9.362202e+09     65s
   20604    0.0000000e+00   1.339133e+00   2.206749e+10     70s
   21814    0.0000000e+00   1.119735e+00   3.929193e+10     75s
   23074    0.0000000e+00   9.249987e-01   2.665189e+10     80s
   24254    0.0000000e+00   7.814279e-01   3.178864e+10     85s
   25464    0.0000000e+00   6.631866e-01   1.893072e+10     90s
   26694    0.0000000e+00   5.486127e-01   8.871568e+09     95s
   27944    0.0000000e+00   4.359524e-01   8.170812e+10    101s
   29084    0.0000000e+00   3.643494e-01   2.058797e+10    105s
   30284    0.0000000e+00   2.736066e-01   1.508866e+10    110s
   31344    0.0000000e+00   2.073179e-01   1.196090e+10    115s
   32524    0.0000000e+00   1.471508e-01   1.071167e+10    120s
   33664    0.0000000e+00   6.636079e-02   5.483011e+09    125s
   34784    0.0000000e+00   5.970796e-04   5.136928e+09    130s
   34897    4.1109900e+05   0.000000e+00   3.200000e+01    131s
   36239    8.2066230e+02   0.000000e+00   1.626228e+06    135s
   38025    7.8297169e+02   0.000000e+00   3.088696e+06    140s
   39591    7.6284605e+02   0.000000e+00   3.586295e+08    145s
   41323    7.4479152e+02   0.000000e+00   5.713363e+07    150s
   42895    7.3437152e+02   0.000000e+00   2.865837e+06    155s
   44479    7.2329396e+02   0.000000e+00   4.258720e+06    160s
   46087    7.1419115e+02   0.000000e+00   1.177876e+07    165s
   47699    7.0797160e+02   0.000000e+00   6.810599e+06    170s
   49063    6.9860237e+02   0.000000e+00   1.826778e+06    175s
   50427    6.9108343e+02   0.000000e+00   2.183359e+07    180s
   51667    6.8635867e+02   0.000000e+00   4.370224e+06    185s
   52821    6.8325417e+02   0.000000e+00   5.876035e+07    190s
   53649    6.7533735e+02   0.000000e+00   8.019177e+06    196s
   54381    6.6605989e+02   0.000000e+00   3.960883e+06    201s
   55001    6.6146580e+02   0.000000e+00   5.398664e+06    205s
   55719    6.5681733e+02   0.000000e+00   3.466014e+06    211s
   56309    6.5383140e+02   0.000000e+00   4.852281e+06    215s
   57035    6.5074912e+02   0.000000e+00   3.662744e+06    221s
   57655    6.4843755e+02   0.000000e+00   1.869329e+06    226s
   58227    6.4660625e+02   0.000000e+00   5.138960e+07    230s
   58795    6.4490826e+02   0.000000e+00   1.398173e+06    235s
   59405    6.4312476e+02   0.000000e+00   1.343917e+07    240s
   60055    6.4132976e+02   0.000000e+00   2.852836e+06    246s
   60575    6.3988810e+02   0.000000e+00   8.329443e+07    250s
   61185    6.3854898e+02   0.000000e+00   4.014538e+06    256s
   61869    6.3706480e+02   0.000000e+00   1.984121e+06    261s
   62339    6.3626113e+02   0.000000e+00   2.983848e+06    265s
   62989    6.3524047e+02   0.000000e+00   2.782367e+06    271s
   63509    6.3397059e+02   0.000000e+00   1.472503e+07    275s
   64089    6.3295079e+02   0.000000e+00   1.995579e+06    281s
   64659    6.3158517e+02   0.000000e+00   5.621393e+06    286s
   65129    6.3076754e+02   0.000000e+00   1.129237e+07    290s
   65699    6.2963678e+02   0.000000e+00   8.934805e+05    296s
   66269    6.2861088e+02   0.000000e+00   5.303092e+05    300s
   66819    6.2760197e+02   0.000000e+00   3.469149e+06    305s
   67419    6.2679474e+02   0.000000e+00   7.969338e+05    311s
   67993    6.2599737e+02   0.000000e+00   2.914731e+06    316s
   68543    6.2542114e+02   0.000000e+00   6.470763e+06    321s
   69093    6.2478304e+02   0.000000e+00   5.136874e+06    325s
   69633    6.2402406e+02   0.000000e+00   3.528720e+06    330s
   70233    6.2322016e+02   0.000000e+00   2.529269e+06    336s
   70773    6.2254055e+02   0.000000e+00   9.688988e+05    340s
   71313    6.2191980e+02   0.000000e+00   1.980198e+06    345s
   71973    6.2137751e+02   0.000000e+00   4.789298e+06    351s
   72463    6.2098752e+02   0.000000e+00   3.147760e+06    355s
   73083    6.2046205e+02   0.000000e+00   4.116727e+06    360s
   73733    6.1983984e+02   0.000000e+00   6.969136e+06    366s
   74313    6.1922629e+02   0.000000e+00   5.550113e+05    371s
   74873    6.1857407e+02   0.000000e+00   4.907434e+05    376s
   75353    6.1801516e+02   0.000000e+00   2.544327e+06    380s
   75973    6.1710959e+02   0.000000e+00   1.667437e+06    385s
   76553    6.1637195e+02   0.000000e+00   1.057099e+07    390s
   77153    6.1603180e+02   0.000000e+00   7.457771e+05    396s
   77753    6.1556439e+02   0.000000e+00   9.490479e+06    401s
   78253    6.1525307e+02   0.000000e+00   1.547087e+06    405s
   78867    6.1469604e+02   0.000000e+00   3.558538e+06    411s
   79347    6.1429516e+02   0.000000e+00   7.166428e+05    415s
   79947    6.1383821e+02   0.000000e+00   2.403875e+06    420s
   80627    6.1338826e+02   0.000000e+00   2.403676e+06    426s
   81111    6.1302625e+02   0.000000e+00   1.478710e+06    430s
   81721    6.1251294e+02   0.000000e+00   4.307285e+07    436s
   82201    6.1230204e+02   0.000000e+00   7.323967e+05    440s
   82851    6.1195112e+02   0.000000e+00   1.368085e+06    446s
   83351    6.1166726e+02   0.000000e+00   3.459528e+05    450s
   83951    6.1135254e+02   0.000000e+00   8.173724e+05    455s
   84551    6.1094260e+02   0.000000e+00   4.880167e+06    461s
   85161    6.1063565e+02   0.000000e+00   5.444127e+05    466s
   85761    6.1031072e+02   0.000000e+00   9.253722e+05    471s
   86351    6.1000904e+02   0.000000e+00   9.809904e+05    476s
   86821    6.0977857e+02   0.000000e+00   1.848429e+06    480s
   87381    6.0954839e+02   0.000000e+00   4.010769e+06    485s
   87961    6.0932697e+02   0.000000e+00   7.389136e+05    490s
   88561    6.0909944e+02   0.000000e+00   5.393819e+05    495s
   89211    6.0886725e+02   0.000000e+00   6.481523e+05    501s
   89711    6.0869273e+02   0.000000e+00   7.128072e+05    506s
   90251    6.0847953e+02   0.000000e+00   2.612389e+06    510s
   90871    6.0828452e+02   0.000000e+00   1.458925e+06    516s
   91375    6.0813335e+02   0.000000e+00   2.309540e+07    520s
   91979    6.0796297e+02   0.000000e+00   3.001319e+06    526s
   92519    6.0778707e+02   0.000000e+00   5.386855e+06    530s
   93133    6.0765847e+02   0.000000e+00   3.954946e+05    536s
   93713    6.0751647e+02   0.000000e+00   3.908791e+05    541s
   94287    6.0733605e+02   0.000000e+00   9.649998e+05    545s
   94817    6.0715994e+02   0.000000e+00   6.361661e+05    550s
   95477    6.0691310e+02   0.000000e+00   1.121698e+06    556s
   96017    6.0671508e+02   0.000000e+00   8.112712e+06    561s
   96527    6.0655153e+02   0.000000e+00   1.406361e+06    565s
   97117    6.0638473e+02   0.000000e+00   1.166466e+06    571s
   97637    6.0624368e+02   0.000000e+00   5.972551e+05    575s
   98147    6.0608959e+02   0.000000e+00   6.223482e+06    580s
   98721    6.0594079e+02   0.000000e+00   1.780449e+06    585s
   99291    6.0581953e+02   0.000000e+00   2.118830e+06    590s
   99925    6.0559463e+02   0.000000e+00   1.343054e+06    596s
  100435    6.0540902e+02   0.000000e+00   4.740500e+05    600s
  101055    6.0521420e+02   0.000000e+00   2.706608e+06    606s
  101535    6.0506367e+02   0.000000e+00   1.149032e+06    610s
  102189    6.0481969e+02   0.000000e+00   3.323351e+06    616s
  102649    6.0471034e+02   0.000000e+00   2.162302e+05    620s
  103209    6.0457347e+02   0.000000e+00   6.724448e+05    625s
  103819    6.0445631e+02   0.000000e+00   3.009591e+05    630s
  104419    6.0434575e+02   0.000000e+00   1.282000e+06    636s
  105043    6.0423712e+02   0.000000e+00   4.925136e+06    641s
  105513    6.0416728e+02   0.000000e+00   2.541130e+05    645s
  106163    6.0407531e+02   0.000000e+00   1.210862e+06    651s
  106693    6.0400110e+02   0.000000e+00   1.798866e+06    656s
  107203    6.0394688e+02   0.000000e+00   3.021997e+05    660s
